ISim log file
Running: D:\Google Downloads\Recitation 2\counter\test_isim_beh.exe -gui -tclbatch isim.cmd -wdb D:/Google Downloads/Recitation 2/counter/test_isim_beh.wdb 
ISim M.81d (signature 0xcb73ee62)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1   0     0      0000
5	 0   1     0      0000
10	 1   1     0      0000
15	 0   0     0      0000
20	 1   0     0      0000
25	 0   0     1      0000
30	 1   0     1      0000
31	 1   0     1      0001
35	 0   0     1      0001
40	 1   0     1      0000
41	 1   0     1      0010
45	 0   0     1      0010
50	 1   0     1      0000
51	 1   0     1      0011
55	 0   0     1      0011
60	 1   0     1      0000
61	 1   0     1      0100
65	 0   0     1      0100
70	 1   0     1      0000
71	 1   0     1      0101
75	 0   0     1      0101
80	 1   0     1      0000
81	 1   0     1      0110
85	 0   0     1      0110
90	 1   0     1      0000
91	 1   0     1      0111
95	 0   0     1      0111
100	 1   0     1      0000
101	 1   0     1      1000
105	 0   0     1      1000
110	 1   0     1      0000
111	 1   0     1      1001
115	 0   0     1      1001
120	 1   0     1      0000
121	 1   0     1      1010
125	 0   0     0      1010
130	 1   0     0      0000
135	 0   0     0      0000
140	 1   0     0      0000
145	 0   0     0      0000
150	 1   0     0      0000
155	 0   0     0      0000
160	 1   0     0      0000
165	 0   0     0      0000
170	 1   0     0      0000
175	 0   0     0      0000
180	 1   0     0      0000
185	 0   0     0      0000
190	 1   0     0      0000
195	 0   0     0      0000
200	 1   0     0      0000
205	 0   0     0      0000
210	 1   0     0      0000
215	 0   0     0      0000
220	 1   0     0      0000
225	 0   0     0      0000
230	 1   0     0      0000
235	 0   0     0      0000
240	 1   0     0      0000
245	 0   0     0      0000
250	 1   0     0      0000
255	 0   0     0      0000
260	 1   0     0      0000
265	 0   0     0      0000
270	 1   0     0      0000
275	 0   0     0      0000
280	 1   0     0      0000
285	 0   0     0      0000
290	 1   0     0      0000
295	 0   0     0      0000
300	 1   0     0      0000
305	 0   0     0      0000
310	 1   0     0      0000
315	 0   0     0      0000
320	 1   0     0      0000
325	 0   0     0      0000
330	 1   0     0      0000
335	 0   0     0      0000
340	 1   0     0      0000
345	 0   0     0      0000
350	 1   0     0      0000
355	 0   0     0      0000
360	 1   0     0      0000
365	 0   0     0      0000
370	 1   0     0      0000
375	 0   0     0      0000
380	 1   0     0      0000
385	 0   0     0      0000
390	 1   0     0      0000
395	 0   0     0      0000
400	 1   0     0      0000
405	 0   0     0      0000
410	 1   0     0      0000
415	 0   0     0      0000
420	 1   0     0      0000
425	 0   0     0      0000
430	 1   0     0      0000
435	 0   0     0      0000
440	 1   0     0      0000
445	 0   0     0      0000
450	 1   0     0      0000
455	 0   0     0      0000
460	 1   0     0      0000
465	 0   0     0      0000
470	 1   0     0      0000
475	 0   0     0      0000
480	 1   0     0      0000
485	 0   0     0      0000
490	 1   0     0      0000
495	 0   0     0      0000
500	 1   0     0      0000
505	 0   0     0      0000
510	 1   0     0      0000
515	 0   0     0      0000
520	 1   0     0      0000
525	 0   0     0      0000
530	 1   0     0      0000
535	 0   0     0      0000
540	 1   0     0      0000
545	 0   0     0      0000
550	 1   0     0      0000
555	 0   0     0      0000
560	 1   0     0      0000
565	 0   0     0      0000
570	 1   0     0      0000
575	 0   0     0      0000
580	 1   0     0      0000
585	 0   0     0      0000
590	 1   0     0      0000
595	 0   0     0      0000
600	 1   0     0      0000
605	 0   0     0      0000
610	 1   0     0      0000
615	 0   0     0      0000
620	 1   0     0      0000
625	 0   0     0      0000
630	 1   0     0      0000
635	 0   0     0      0000
640	 1   0     0      0000
645	 0   0     0      0000
650	 1   0     0      0000
655	 0   0     0      0000
660	 1   0     0      0000
665	 0   0     0      0000
670	 1   0     0      0000
675	 0   0     0      0000
680	 1   0     0      0000
685	 0   0     0      0000
690	 1   0     0      0000
695	 0   0     0      0000
700	 1   0     0      0000
705	 0   0     0      0000
710	 1   0     0      0000
715	 0   0     0      0000
720	 1   0     0      0000
725	 0   0     0      0000
730	 1   0     0      0000
735	 0   0     0      0000
740	 1   0     0      0000
745	 0   0     0      0000
750	 1   0     0      0000
755	 0   0     0      0000
760	 1   0     0      0000
765	 0   0     0      0000
770	 1   0     0      0000
775	 0   0     0      0000
780	 1   0     0      0000
785	 0   0     0      0000
790	 1   0     0      0000
795	 0   0     0      0000
800	 1   0     0      0000
805	 0   0     0      0000
810	 1   0     0      0000
815	 0   0     0      0000
820	 1   0     0      0000
825	 0   0     0      0000
830	 1   0     0      0000
835	 0   0     0      0000
840	 1   0     0      0000
845	 0   0     0      0000
850	 1   0     0      0000
855	 0   0     0      0000
860	 1   0     0      0000
865	 0   0     0      0000
870	 1   0     0      0000
875	 0   0     0      0000
880	 1   0     0      0000
885	 0   0     0      0000
890	 1   0     0      0000
895	 0   0     0      0000
900	 1   0     0      0000
905	 0   0     0      0000
910	 1   0     0      0000
915	 0   0     0      0000
920	 1   0     0      0000
925	 0   0     0      0000
930	 1   0     0      0000
935	 0   0     0      0000
940	 1   0     0      0000
945	 0   0     0      0000
950	 1   0     0      0000
955	 0   0     0      0000
960	 1   0     0      0000
